table_id,table_name,database_name,schema_name,column_name,data_type,description,is_primary_key,is_foreign_key,foreign_key_table,parent_table,level,display_name
gold_metrics_001,transaction_analytics,analytics_db,gold,metric_date,DATE,Metric date,TRUE,FALSE,,,0,Transaction Analytics
gold_metrics_001,transaction_analytics,analytics_db,gold,total_transactions,INT,Total transaction count,FALSE,FALSE,,,0,Transaction Analytics
gold_metrics_001,transaction_analytics,analytics_db,gold,total_volume_usd,DECIMAL(18,2),Total volume USD,FALSE,FALSE,,,0,Transaction Analytics
gold_metrics_001,transaction_analytics,analytics_db,gold,success_rate,DECIMAL(5,2),Success rate percentage,FALSE,FALSE,,,0,Transaction Analytics
gold_metrics_001,transaction_analytics,analytics_db,gold,avg_transaction_amount_usd,DECIMAL(18,2),Average transaction amount,FALSE,FALSE,,,0,Transaction Analytics
gold_metrics_001_sub1,daily_transaction_metrics,analytics_db,gold,metric_date,DATE,Daily metric date,TRUE,FALSE,,gold_metrics_001,1,Daily Transaction Metrics
gold_metrics_001_sub1,daily_transaction_metrics,analytics_db,gold,peak_hour,INT,Peak transaction hour,FALSE,FALSE,,gold_metrics_001,1,Daily Transaction Metrics
gold_metrics_001_sub1,daily_transaction_metrics,analytics_db,gold,day_of_week,VARCHAR(10),Day of week,FALSE,FALSE,,gold_metrics_001,1,Daily Transaction Metrics
gold_metrics_001_sub1_sub1,weekday_metrics,analytics_db,gold,metric_date,DATE,Weekday metric date,TRUE,FALSE,,gold_metrics_001_sub1,2,Weekday Metrics
gold_metrics_001_sub1_sub1,weekday_metrics,analytics_db,gold,business_hours_volume,DECIMAL(18,2),Business hours volume,FALSE,FALSE,,gold_metrics_001_sub1,2,Weekday Metrics
gold_metrics_001_sub1_sub1,weekday_metrics,analytics_db,gold,lunch_hour_peak,BOOLEAN,Lunch hour peak flag,FALSE,FALSE,,gold_metrics_001_sub1,2,Weekday Metrics
gold_metrics_001_sub1_sub2,weekend_metrics,analytics_db,gold,metric_date,DATE,Weekend metric date,TRUE,FALSE,,gold_metrics_001_sub1,2,Weekend Metrics
gold_metrics_001_sub1_sub2,weekend_metrics,analytics_db,gold,weekend_volume_ratio,DECIMAL(5,2),Weekend to weekday ratio,FALSE,FALSE,,gold_metrics_001_sub1,2,Weekend Metrics
gold_metrics_001_sub1_sub2,weekend_metrics,analytics_db,gold,leisure_spending_indicator,BOOLEAN,Leisure spending flag,FALSE,FALSE,,gold_metrics_001_sub1,2,Weekend Metrics
gold_metrics_001_sub2,monthly_transaction_metrics,analytics_db,gold,metric_month,VARCHAR(7),Metric month YYYY-MM,TRUE,FALSE,,gold_metrics_001,1,Monthly Transaction Metrics
gold_metrics_001_sub2,monthly_transaction_metrics,analytics_db,gold,month_over_month_growth,DECIMAL(5,2),MoM growth percentage,FALSE,FALSE,,gold_metrics_001,1,Monthly Transaction Metrics
gold_metrics_001_sub2,monthly_transaction_metrics,analytics_db,gold,seasonal_adjusted_volume,DECIMAL(18,2),Seasonally adjusted volume,FALSE,FALSE,,gold_metrics_001,1,Monthly Transaction Metrics
gold_customer_analytics_002,customer_insights,analytics_db,gold,customer_id,VARCHAR(36),Customer identifier,TRUE,FALSE,,,0,Customer Insights
gold_customer_analytics_002,customer_insights,analytics_db,gold,total_spend_usd,DECIMAL(18,2),Total customer spend,FALSE,FALSE,,,0,Customer Insights
gold_customer_analytics_002,customer_insights,analytics_db,gold,transaction_count,INT,Total transactions,FALSE,FALSE,,,0,Customer Insights
gold_customer_analytics_002,customer_insights,analytics_db,gold,customer_segment,VARCHAR(30),Customer segment,FALSE,FALSE,,,0,Customer Insights
gold_customer_analytics_002,customer_insights,analytics_db,gold,churn_risk_score,INT,Churn risk score,FALSE,FALSE,,,0,Customer Insights
